chr	start	end	ATAC
chr17	155400	155600	U
chr17	155600	155800	U
chr17	156200	156400	U
chr17	156400	156600	U
chr17	157200	157400	U
chr17	157800	158000	U
chr17	158000	158200	U
chr17	160400	160600	U
chr17	160600	160800	U
chr17	160800	161000	U
chr17	161000	161200	U
chr17	161600	161800	U
chr17	161800	162000	U
chr17	162000	162200	U
chr17	162800	163000	U
chr17	163000	163200	U
chr17	163200	163400	U
chr17	164000	164200	U
chr17	164200	164400	U
chr17	164400	164600	U
chr17	164600	164800	U
chr17	164800	165000	U
chr17	165600	165800	U
chr17	165800	166000	U
chr17	166000	166200	U
chr17	166200	166400	U
chr17	169800	170000	U
chr17	170000	170200	U
chr17	170200	170400	U
chr17	170400	170600	U
chr17	172200	172400	U
chr17	172400	172600	U
chr17	173000	173200	U
chr17	174600	174800	U
chr17	175800	176000	U
chr17	176800	177000	U
chr17	178600	178800	U
chr17	178800	179000	U
chr17	179000	179200	U
chr17	179200	179400	U
chr17	179400	179600	U
chr17	179600	179800	U
chr17	179800	180000	U
chr17	180000	180200	U
chr17	180200	180400	U
chr17	180400	180600	U
chr17	180600	180800	U
chr17	180800	181000	U
chr17	181600	181800	U
chr17	181800	182000	U
chr17	182000	182200	U
chr17	182200	182400	U
chr17	182400	182600	U
chr17	182600	182800	U
chr17	183600	183800	U
chr17	184800	185000	U
chr17	185600	185800	U
chr17	186400	186600	U
chr17	186800	187000	U
chr17	187000	187200	U
chr17	187200	187400	U
chr17	187400	187600	U
chr17	191000	191200	U
chr17	192800	193000	U
chr17	194400	194600	U
chr17	194600	194800	U
chr17	197800	198000	U
chr17	199000	199200	U
chr17	199200	199400	U
chr17	199400	199600	U
chr17	199600	199800	U
chr17	200200	200400	U
chr17	200400	200600	U
chr17	200600	200800	U
chr17	207200	207400	U
chr17	208400	208600	U
chr17	212400	212600	U
chr17	212600	212800	U
chr17	213400	213600	U
chr17	213600	213800	U
chr17	213800	214000	U
chr17	215000	215200	U
chr17	215600	215800	U
chr17	216400	216600	U
chr17	218800	219000	U
chr17	219600	219800	U
chr17	219800	220000	U
chr17	223400	223600	U
chr17	225600	225800	U
chr17	225800	226000	U
chr17	226000	226200	U
chr17	226200	226400	U
chr17	226400	226600	U
chr17	226600	226800	U
chr17	226800	227000	U
chr17	227000	227200	U
chr17	227200	227400	U
chr17	227400	227600	U
chr17	227600	227800	U
chr17	227800	228000	U
chr17	229200	229400	U
chr17	229400	229600	U
chr17	229600	229800	U
chr17	229800	230000	U
chr17	230000	230200	U
chr17	230200	230400	U
chr17	230600	230800	U
chr17	231000	231200	U
chr17	231200	231400	U
chr17	231400	231600	U
chr17	231600	231800	U
chr17	231800	232000	U
chr17	232400	232600	U
chr17	232600	232800	U
chr17	233000	233200	U
chr17	233400	233600	U
chr17	234600	234800	U
chr17	234800	235000	U
chr17	236600	236800	U
chr17	236800	237000	U
chr17	237000	237200	U
chr17	237200	237400	U
chr17	237400	237600	U
chr17	237600	237800	U
chr17	238600	238800	U
chr17	238800	239000	U
chr17	239000	239200	U
chr17	239200	239400	U
chr17	244600	244800	U
chr17	245600	245800	U
chr17	245800	246000	U
chr17	246000	246200	U
chr17	246600	246800	U
chr17	246800	247000	U
chr17	247000	247200	U
chr17	247200	247400	U
chr17	248400	248600	U
chr17	251000	251200	U
chr17	251600	251800	U
chr17	252400	252600	U
chr17	253000	253200	U
chr17	253200	253400	U
chr17	258400	258600	U
chr17	259000	259200	U
chr17	259200	259400	U
chr17	259400	259600	U
chr17	259600	259800	U
chr17	259800	260000	U
chr17	262000	262200	U
chr17	263600	263800	U
chr17	263800	264000	U
chr17	264000	264200	U
chr17	265400	265600	U
chr17	265800	266000	U
chr17	266000	266200	U
chr17	266400	266600	U
chr17	266600	266800	U
chr17	266800	267000	U
chr17	269800	270000	U
chr17	270000	270200	U
chr17	270200	270400	U
chr17	273800	274000	U
chr17	274000	274200	U
chr17	274400	274600	U
chr17	274600	274800	U
chr17	274800	275000	U
chr17	276000	276200	U
chr17	279000	279200	U
chr17	279200	279400	U
chr17	279400	279600	U
chr17	281800	282000	U
chr17	283000	283200	U
chr17	283200	283400	U
chr17	283800	284000	U
chr17	284000	284200	U
chr17	284400	284600	U
chr17	285800	286000	U
chr17	286000	286200	U
chr17	286200	286400	U
chr17	286400	286600	U
chr17	286600	286800	U
chr17	290200	290400	U
chr17	290400	290600	U
chr17	290600	290800	U
chr17	291600	291800	U
chr17	291800	292000	U
chr17	292000	292200	U
chr17	292200	292400	U
chr17	292800	293000	U
chr17	293000	293200	U
chr17	293200	293400	U
chr17	296600	296800	U
chr17	296800	297000	U
chr17	297800	298000	U
chr17	298000	298200	U
chr17	298200	298400	U
chr17	298800	299000	U
chr17	299000	299200	U
chr17	299400	299600	U
chr17	299600	299800	U
chr17	301000	301200	U
chr17	302000	302200	U
chr17	302400	302600	U
chr17	302600	302800	U
chr17	302800	303000	U
chr17	305200	305400	U
chr17	305400	305600	U
chr17	307600	307800	U
chr17	307800	308000	U
chr17	308000	308200	U
chr17	308800	309000	U
chr17	309800	310000	U
chr17	310000	310200	U
chr17	310200	310400	U
chr17	310400	310600	U
chr17	310600	310800	U
chr17	311200	311400	U
chr17	311400	311600	U
chr17	313800	314000	U
chr17	314000	314200	U
chr17	319200	319400	U
chr17	319400	319600	U
chr17	320800	321000	U
chr17	321000	321200	U
chr17	321200	321400	U
chr17	321800	322000	U
chr17	323400	323600	U
chr17	324400	324600	U
chr17	325800	326000	U
chr17	326000	326200	U
chr17	326200	326400	U
chr17	327400	327600	U
chr17	327600	327800	U
chr17	327800	328000	U
chr17	328000	328200	U
chr17	331400	331600	U
chr17	331600	331800	U
chr17	332600	332800	U
chr17	332800	333000	U
chr17	334000	334200	U
chr17	334200	334400	U
chr17	335000	335200	U
chr17	335200	335400	U
chr17	335400	335600	U
chr17	335600	335800	U
chr17	336000	336200	U
chr17	336200	336400	U
chr17	337400	337600	U
chr17	337800	338000	U
chr17	338600	338800	U
chr17	338800	339000	U
chr17	339000	339200	U
chr17	339200	339400	U
chr17	339800	340000	U
chr17	340000	340200	U
chr17	343200	343400	U
chr17	345400	345600	U
chr17	348600	348800	U
chr17	348800	349000	U
chr17	349000	349200	U
chr17	349200	349400	U
chr17	349800	350000	U
chr17	350800	351000	U
chr17	351000	351200	U
chr17	351200	351400	U
chr17	351400	351600	U
chr17	352000	352200	U
chr17	352200	352400	U
chr17	352600	352800	U
chr17	352800	353000	U
chr17	353000	353200	U
chr17	353200	353400	U
chr17	354400	354600	U
chr17	354800	355000	U
chr17	355000	355200	U
chr17	356800	357000	U
chr17	357000	357200	U
chr17	357200	357400	U
chr17	357400	357600	U
chr17	357600	357800	U
chr17	357800	358000	U
chr17	358600	358800	U
chr17	360000	360200	U
chr17	360200	360400	U
chr17	360400	360600	U
chr17	361200	361400	U
chr17	364200	364400	U
chr17	364400	364600	U
chr17	370600	370800	U
chr17	371000	371200	U
chr17	371200	371400	U
chr17	372800	373000	U
chr17	373000	373200	U
chr17	373200	373400	U
chr17	373400	373600	U
chr17	379200	379400	U
chr17	379400	379600	U
chr17	379600	379800	U
chr17	379800	380000	U
chr17	380000	380200	U
chr17	382400	382600	U
chr17	382600	382800	U
chr17	383600	383800	U
chr17	384000	384200	U
chr17	384200	384400	U
chr17	384400	384600	U
chr17	385200	385400	U
chr17	385400	385600	U
chr17	385600	385800	B
chr17	386000	386200	B
chr17	386800	387000	B
chr17	387000	387200	U
chr17	389000	389200	U
chr17	395000	395200	U
chr17	401600	401800	U
chr17	404800	405000	U
chr17	405000	405200	U
chr17	410800	411000	B
chr17	411000	411200	B
chr17	411600	411800	U
chr17	411800	412000	U
chr17	412400	412600	U
chr17	413000	413200	U
chr17	413200	413400	U
chr17	414000	414200	U
chr17	414200	414400	U
chr17	414400	414600	U
chr17	416200	416400	U
chr17	416800	417000	U
chr17	422400	422600	U
chr17	427400	427600	U
chr17	440000	440200	U
chr17	440200	440400	U
chr17	440400	440600	U
chr17	440600	440800	U
chr17	441200	441400	U
chr17	441400	441600	U
chr17	441600	441800	U
chr17	442200	442400	U
chr17	442400	442600	U
chr17	442600	442800	U
chr17	442800	443000	U
chr17	443000	443200	U
chr17	443200	443400	U
chr17	443400	443600	U
chr17	444400	444600	U
chr17	445000	445200	U
chr17	445200	445400	U
chr17	447600	447800	U
chr17	489200	489400	B
chr17	489600	489800	B
chr17	489800	490000	B
chr17	490000	490200	B
chr17	491200	491400	U
chr17	491400	491600	U
chr17	491600	491800	U
chr17	491800	492000	U
chr17	493800	494000	U
chr17	494400	494600	U
chr17	494600	494800	U
chr17	494800	495000	U
chr17	495000	495200	U
chr17	496000	496200	U
chr17	496600	496800	U
chr17	496800	497000	U
chr17	497000	497200	U
chr17	497200	497400	U
chr17	497400	497600	U
chr17	500000	500200	U
chr17	500200	500400	U
chr17	507200	507400	U
chr17	507800	508000	U
chr17	511200	511400	U
chr17	511400	511600	U
chr17	512000	512200	U
chr17	513000	513200	U
chr17	513200	513400	U
chr17	514800	515000	U
chr17	515000	515200	U
chr17	516800	517000	U
chr17	517000	517200	U
chr17	517200	517400	U
chr17	518200	518400	U
chr17	518400	518600	U
chr17	518800	519000	U
chr17	519000	519200	U
chr17	519200	519400	U
chr17	519400	519600	U
chr17	519600	519800	U
chr17	520400	520600	U
chr17	521000	521200	U
chr17	521200	521400	U
chr17	521400	521600	U
chr17	521600	521800	U
chr17	523200	523400	U
chr17	523400	523600	U
chr17	523600	523800	U
chr17	523800	524000	U
chr17	526200	526400	U
chr17	526400	526600	U
chr17	526600	526800	U
chr17	526800	527000	U
chr17	530800	531000	U
chr17	531000	531200	U
chr17	531200	531400	U
chr17	532800	533000	U
chr17	533000	533200	U
chr17	534400	534600	U
chr17	535000	535200	U
chr17	535600	535800	U
chr17	535800	536000	U
chr17	536000	536200	U
chr17	536200	536400	U
chr17	537000	537200	U
chr17	537200	537400	U
chr17	537400	537600	U
chr17	538000	538200	U
chr17	538400	538600	U
chr17	538800	539000	U
chr17	539000	539200	U
chr17	539200	539400	U
chr17	540600	540800	U
chr17	540800	541000	U
chr17	541000	541200	U
chr17	543000	543200	U
chr17	543200	543400	U
chr17	543400	543600	U
chr17	545200	545400	U
chr17	545400	545600	U
chr17	548000	548200	U
chr17	548800	549000	U
chr17	549000	549200	U
chr17	549200	549400	U
chr17	549400	549600	U
chr17	549600	549800	U
chr17	549800	550000	U
chr17	550600	550800	U
chr17	550800	551000	U
chr17	551000	551200	U
chr17	551600	551800	U
chr17	551800	552000	U
chr17	552000	552200	U
chr17	552600	552800	U
chr17	559400	559600	U
chr17	559600	559800	U
chr17	559800	560000	U
chr17	560400	560600	U
chr17	560600	560800	U
chr17	561200	561400	U
chr17	562400	562600	U
chr17	562600	562800	U
chr17	564800	565000	U
chr17	566400	566600	U
chr17	567200	567400	U
chr17	568000	568200	U
chr17	573200	573400	U
chr17	574200	574400	U
chr17	574800	575000	U
chr17	575000	575200	U
chr17	575200	575400	U
chr17	584200	584400	U
chr17	586000	586200	U
chr17	586200	586400	U
chr17	586400	586600	U
chr17	587600	587800	U
chr17	588400	588600	U
chr17	588600	588800	U
chr17	588800	589000	U
chr17	589000	589200	U
chr17	596600	596800	U
chr17	596800	597000	U
chr17	597000	597200	U
chr17	597200	597400	U
chr17	599800	600000	U
chr17	600000	600200	U
chr17	600200	600400	U
chr17	600400	600600	U
chr17	601000	601200	U
chr17	601200	601400	B
chr17	601400	601600	B
chr17	601600	601800	B
chr17	601800	602000	B
chr17	602800	603000	U
chr17	603600	603800	U
chr17	603800	604000	U
chr17	604000	604200	U
chr17	607200	607400	U
chr17	607400	607600	U
chr17	607600	607800	U
chr17	607800	608000	U
chr17	608000	608200	U
chr17	608200	608400	U
chr17	608400	608600	U
chr17	614600	614800	U
chr17	615000	615200	U
chr17	615200	615400	U
chr17	615800	616000	U
chr17	616000	616200	U
chr17	616200	616400	U
chr17	616400	616600	U
chr17	616600	616800	U
chr17	616800	617000	U
chr17	617000	617200	U
chr17	620000	620200	U
chr17	620200	620400	U
chr17	620400	620600	U
chr17	621000	621200	U
chr17	623000	623200	U
chr17	623200	623400	U
chr17	623400	623600	U
chr17	623600	623800	U
chr17	624200	624400	U
chr17	624400	624600	U
chr17	624600	624800	U
chr17	626800	627000	U
chr17	627000	627200	U
chr17	627200	627400	U
chr17	628000	628200	U
chr17	628800	629000	U
chr17	629000	629200	U
chr17	630600	630800	U
chr17	630800	631000	U
chr17	631000	631200	U
chr17	631200	631400	U
chr17	631400	631600	U
chr17	631600	631800	U
chr17	633400	633600	U
chr17	633600	633800	U
chr17	633800	634000	U
chr17	641200	641400	U
chr17	641800	642000	U
chr17	642000	642200	U
chr17	644000	644200	U
chr17	644200	644400	U
chr17	648000	648200	U
chr17	651600	651800	U
chr17	651800	652000	U
chr17	652800	653000	U
chr17	655000	655200	U
chr17	655200	655400	U
chr17	655600	655800	U
chr17	655800	656000	U
chr17	656000	656200	U
chr17	656200	656400	U
chr17	656400	656600	U
chr17	656800	657000	U
chr17	657000	657200	U
chr17	657200	657400	U
chr17	657400	657600	U
chr17	659000	659200	U
chr17	661600	661800	U
chr17	661800	662000	U
chr17	662000	662200	U
chr17	662200	662400	U
chr17	668400	668600	U
chr17	668600	668800	U
chr17	668800	669000	U
chr17	669000	669200	U
chr17	670400	670600	U
chr17	670600	670800	U
chr17	672400	672600	U
chr17	673600	673800	U
chr17	673800	674000	U
chr17	674000	674200	U
chr17	674200	674400	U
chr17	674400	674600	U
chr17	675200	675400	U
chr17	675800	676000	U
chr17	676400	676600	U
chr17	676800	677000	U
chr17	679600	679800	U
chr17	686400	686600	U
chr17	686600	686800	U
chr17	688800	689000	U
chr17	689000	689200	U
chr17	692000	692200	U
chr17	692200	692400	U
chr17	692400	692600	U
chr17	693800	694000	U
chr17	694000	694200	U
chr17	694200	694400	U
chr17	694400	694600	U
chr17	696000	696200	U
chr17	696200	696400	U
chr17	696400	696600	U
chr17	697000	697200	U
chr17	697200	697400	U
chr17	697400	697600	U
chr17	697600	697800	U
chr17	697800	698000	U
chr17	699200	699400	U
chr17	700600	700800	U
chr17	700800	701000	U
chr17	703400	703600	U
chr17	703600	703800	U
chr17	704000	704200	U
chr17	704200	704400	U
chr17	704400	704600	U
chr17	704600	704800	U
chr17	704800	705000	U
chr17	705000	705200	U
chr17	710200	710400	U
chr17	710400	710600	U
chr17	714200	714400	B
chr17	714400	714600	B
chr17	714600	714800	B
chr17	715000	715200	B
chr17	715800	716000	U
chr17	719200	719400	U
chr17	719400	719600	U
chr17	721200	721400	U
chr17	721600	721800	U
chr17	721800	722000	U
chr17	722000	722200	U
chr17	726200	726400	U
chr17	726400	726600	U
chr17	727000	727200	U
chr17	728600	728800	U
chr17	728800	729000	U
chr17	730600	730800	U
chr17	730800	731000	U
chr17	731800	732000	B
chr17	732000	732200	B
chr17	732200	732400	B
chr17	733000	733200	B
chr17	733200	733400	B
chr17	733400	733600	B
chr17	733600	733800	B
chr17	733800	734000	U
chr17	736400	736600	U
chr17	737400	737600	U
chr17	737800	738000	U
chr17	740200	740400	U
chr17	741000	741200	U
chr17	741200	741400	U
chr17	741400	741600	U
chr17	741600	741800	U
chr17	741800	742000	U
chr17	742000	742200	U
chr17	742200	742400	U
chr17	742400	742600	U
chr17	742600	742800	U
chr17	742800	743000	U
chr17	743000	743200	U
chr17	743200	743400	U
chr17	744200	744400	U
chr17	744400	744600	U
chr17	744600	744800	U
chr17	744800	745000	U
chr17	745000	745200	U
chr17	745200	745400	U
chr17	745400	745600	U
chr17	745600	745800	U
chr17	745800	746000	U
chr17	746000	746200	U
chr17	746200	746400	U
chr17	746400	746600	U
chr17	746600	746800	U
chr17	746800	747000	U
chr17	747000	747200	U
chr17	747200	747400	U
chr17	747400	747600	U
chr17	747600	747800	U
chr17	747800	748000	U
chr17	748000	748200	U
chr17	749800	750000	U
chr17	750600	750800	U
chr17	750800	751000	U
chr17	751400	751600	B
chr17	751800	752000	B
chr17	752000	752200	B
chr17	752400	752600	B
chr17	752600	752800	B
chr17	752800	753000	B
chr17	753600	753800	U
chr17	753800	754000	U
chr17	754000	754200	U
chr17	754200	754400	U
chr17	754400	754600	U
chr17	754600	754800	U
chr17	756800	757000	U
chr17	758200	758400	U
chr17	758400	758600	U
chr17	759000	759200	U
chr17	759200	759400	U
chr17	759400	759600	U
chr17	759600	759800	U
chr17	759800	760000	U
chr17	760000	760200	U
chr17	760200	760400	U
chr17	760400	760600	U
chr17	760600	760800	U
chr17	761000	761200	U
chr17	761200	761400	U
chr17	762000	762200	U
chr17	762200	762400	U
chr17	769800	770000	U
chr17	770000	770200	U
chr17	770200	770400	U
chr17	771200	771400	U
chr17	773600	773800	U
chr17	773800	774000	U
chr17	774400	774600	U
chr17	775600	775800	U
chr17	775800	776000	U
chr17	776000	776200	U
chr17	777000	777200	U
chr17	778600	778800	U
chr17	781400	781600	B
chr17	781600	781800	B
chr17	782000	782200	B
chr17	782200	782400	B
chr17	782400	782600	B
chr17	782600	782800	B
chr17	783000	783200	B
chr17	783800	784000	U
chr17	784000	784200	U
chr17	784200	784400	U
chr17	784800	785000	U
chr17	785000	785200	U
chr17	785600	785800	U
chr17	789200	789400	U
chr17	789400	789600	U
chr17	789600	789800	U
chr17	789800	790000	U
chr17	790000	790200	U
chr17	791400	791600	U
chr17	791600	791800	U
chr17	791800	792000	U
chr17	792000	792200	U
chr17	792200	792400	U
chr17	792400	792600	U
chr17	792600	792800	U
chr17	792800	793000	U
chr17	793600	793800	U
chr17	793800	794000	U
chr17	794600	794800	B
chr17	794800	795000	B
chr17	795000	795200	B
chr17	795200	795400	U
chr17	795400	795600	U
chr17	795600	795800	U
chr17	796000	796200	U
chr17	796800	797000	U
chr17	797000	797200	U
chr17	797200	797400	U
chr17	797400	797600	U
chr17	797600	797800	U
chr17	798400	798600	U
chr17	798600	798800	U
chr17	798800	799000	U
chr17	799000	799200	U
chr17	799200	799400	U
chr17	799400	799600	U
chr17	799600	799800	U
chr17	800200	800400	U
chr17	800400	800600	U
chr17	800600	800800	U
chr17	801000	801200	U
chr17	801800	802000	U
chr17	802600	802800	U
chr17	802800	803000	U
chr17	803000	803200	U
chr17	803200	803400	U
chr17	803400	803600	U
chr17	803600	803800	U
chr17	803800	804000	U
chr17	804000	804200	U
chr17	804600	804800	U
chr17	804800	805000	U
chr17	805000	805200	U
chr17	805200	805400	U
chr17	806400	806600	U
chr17	806600	806800	U
chr17	807000	807200	U
chr17	807200	807400	U
chr17	807400	807600	U
chr17	807600	807800	U
chr17	807800	808000	U
chr17	808000	808200	U
chr17	809000	809200	U
chr17	809200	809400	U
chr17	809400	809600	U
chr17	810400	810600	U
chr17	811200	811400	U
chr17	811400	811600	U
chr17	811600	811800	U
chr17	813200	813400	U
chr17	814400	814600	U
chr17	815800	816000	U
chr17	816000	816200	U
chr17	816200	816400	U
chr17	816800	817000	U
chr17	819400	819600	U
chr17	819600	819800	U
chr17	822400	822600	U
chr17	825400	825600	U
chr17	825600	825800	U
chr17	825800	826000	U
chr17	826000	826200	U
chr17	826200	826400	U
chr17	826400	826600	U
chr17	826800	827000	U
chr17	827800	828000	U
chr17	828800	829000	U
chr17	831800	832000	U
chr17	832600	832800	U
chr17	833200	833400	U
chr17	833800	834000	U
chr17	835400	835600	U
chr17	836200	836400	U
chr17	837600	837800	U
chr17	837800	838000	U
chr17	842400	842600	U
chr17	843200	843400	U
chr17	843400	843600	U
chr17	843600	843800	U
chr17	843800	844000	U
chr17	847000	847200	U
chr17	847200	847400	U
chr17	847600	847800	U
chr17	847800	848000	U
chr17	848600	848800	U
chr17	849800	850000	U
chr17	850000	850200	U
chr17	850200	850400	U
chr17	850400	850600	U
chr17	850600	850800	U
chr17	850800	851000	U
chr17	851000	851200	U
chr17	851200	851400	U
chr17	852000	852200	U
chr17	852400	852600	U
chr17	852600	852800	U
chr17	858800	859000	U
chr17	859000	859200	U
chr17	859200	859400	U
chr17	859400	859600	U
chr17	859600	859800	U
chr17	859800	860000	U
chr17	864400	864600	U
chr17	864600	864800	U
chr17	864800	865000	U
chr17	865000	865200	U
chr17	866600	866800	U
chr17	868800	869000	U
chr17	869000	869200	U
chr17	869200	869400	U
chr17	869400	869600	U
chr17	869600	869800	U
chr17	870200	870400	U
chr17	871800	872000	U
chr17	873600	873800	U
chr17	876400	876600	U
chr17	877800	878000	U
chr17	878600	878800	U
chr17	879600	879800	B
chr17	879800	880000	B
chr17	880000	880200	U
chr17	880400	880600	U
chr17	880600	880800	U
chr17	880800	881000	U
chr17	883200	883400	U
chr17	883400	883600	U
chr17	884600	884800	U
chr17	884800	885000	U
chr17	886000	886200	U
chr17	886200	886400	U
chr17	887400	887600	U
chr17	887600	887800	U
chr17	888000	888200	U
chr17	889800	890000	U
chr17	890000	890200	U
chr17	890800	891000	U
chr17	893200	893400	U
chr17	896600	896800	U
chr17	896800	897000	U
chr17	897000	897200	U
chr17	897200	897400	U
chr17	897400	897600	U
chr17	900600	900800	U
chr17	902000	902200	U
chr17	902200	902400	U
chr17	902400	902600	U
chr17	904000	904200	U
chr17	904200	904400	U
chr17	907000	907200	U
chr17	907800	908000	U
chr17	908000	908200	U
chr17	908600	908800	U
chr17	909200	909400	U
chr17	910600	910800	U
chr17	910800	911000	U
chr17	911000	911200	U
chr17	913000	913200	U
chr17	913200	913400	U
chr17	916000	916200	U
chr17	916200	916400	U
chr17	916400	916600	U
chr17	917600	917800	U
chr17	918000	918200	U
chr17	918200	918400	U
chr17	919400	919600	U
chr17	919600	919800	U
chr17	919800	920000	U
chr17	920200	920400	U
chr17	920400	920600	U
chr17	921200	921400	U
chr17	921400	921600	U
chr17	923600	923800	U
chr17	923800	924000	U
chr17	924800	925000	U
chr17	925000	925200	U
chr17	927800	928000	U
chr17	929400	929600	U
chr17	929600	929800	U
chr17	929800	930000	U
chr17	933000	933200	U
chr17	933200	933400	U
chr17	933400	933600	U
chr17	933600	933800	U
chr17	933800	934000	U
chr17	936200	936400	U
chr17	936400	936600	U
chr17	936600	936800	U
chr17	937400	937600	U
chr17	937600	937800	U
chr17	937800	938000	U
chr17	938000	938200	U
chr17	940400	940600	U
chr17	943200	943400	U
chr17	944400	944600	U
chr17	944600	944800	U
chr17	944800	945000	U
chr17	947000	947200	U
chr17	949800	950000	U
chr17	950800	951000	U
chr17	951600	951800	U
chr17	951800	952000	U
chr17	954400	954600	U
chr17	954800	955000	U
chr17	957800	958000	U
chr17	958000	958200	U
chr17	959000	959200	U
chr17	959200	959400	U
chr17	961600	961800	U
chr17	962600	962800	U
chr17	962800	963000	U
chr17	963000	963200	U
chr17	964200	964400	U
chr17	964400	964600	U
chr17	964600	964800	U
chr17	965000	965200	U
chr17	969400	969600	U
chr17	969600	969800	U
chr17	969800	970000	U
chr17	970000	970200	U
chr17	970200	970400	U
chr17	970400	970600	U
chr17	970600	970800	U
chr17	973200	973400	U
chr17	973400	973600	U
chr17	975200	975400	U
chr17	975400	975600	U
chr17	975600	975800	U
chr17	975800	976000	U
chr17	976000	976200	U
chr17	976200	976400	U
chr17	976400	976600	U
chr17	977200	977400	U
chr17	977400	977600	U
chr17	977600	977800	U
chr17	977800	978000	U
chr17	978000	978200	U
chr17	978200	978400	U
chr17	978400	978600	U
chr17	978800	979000	U
chr17	980000	980200	B
chr17	980400	980600	B
chr17	981000	981200	B
chr17	981200	981400	B
chr17	981400	981600	U
chr17	983800	984000	U
chr17	984000	984200	U
chr17	984200	984400	U
chr17	990000	990200	U
chr17	993000	993200	U
chr17	995200	995400	U
chr17	996600	996800	B
chr17	996800	997000	B
chr17	997000	997200	B
chr17	997200	997400	B
chr17	997400	997600	B
chr17	998000	998200	U
chr17	998400	998600	U
chr17	998600	998800	U
chr17	998800	999000	U
chr17	999000	999200	U
chr17	999400	999600	U
chr17	1000400	1000600	U
chr17	1000600	1000800	U
chr17	1000800	1001000	U
chr17	1001000	1001200	U
chr17	1001200	1001400	U
chr17	1001400	1001600	U
chr17	1001600	1001800	U
chr17	1001800	1002000	U
chr17	1002200	1002400	U
chr17	1002400	1002600	U
chr17	1002600	1002800	U
chr17	1002800	1003000	U
chr17	1003000	1003200	U
chr17	1003200	1003400	U
chr17	1003400	1003600	U
chr17	1004000	1004200	U
chr17	1004200	1004400	U
chr17	1004400	1004600	U
chr17	1004600	1004800	U
chr17	1004800	1005000	U
chr17	1005000	1005200	U
chr17	1005200	1005400	U
chr17	1005400	1005600	U
chr17	1005600	1005800	U
chr17	1005800	1006000	U
chr17	1006000	1006200	U
chr17	1006200	1006400	U
chr17	1006400	1006600	U
chr17	1007200	1007400	U
chr17	1007400	1007600	U
chr17	1008200	1008400	U
chr17	1008400	1008600	U
chr17	1008600	1008800	U
chr17	1008800	1009000	U
chr17	1009800	1010000	U
chr17	1010000	1010200	U
chr17	1010200	1010400	U
chr17	1010400	1010600	U
chr17	1010600	1010800	U
chr17	1010800	1011000	U
chr17	1011000	1011200	U
chr17	1011200	1011400	U
chr17	1011800	1012000	U
chr17	1012200	1012400	U
chr17	1012400	1012600	U
chr17	1012600	1012800	U
chr17	1012800	1013000	U
chr17	1013000	1013200	U
